date,cluster,endpoint,url,protocol,type,target_msg,threshold,total_samples,available_samples,unavailable_samples,availability_pct,downtime_minutes,min_value,note
2026-04-05,eu,OSR,eu-enterprise.l1l2.skylark.swiftnav.com:2103,https:,Standard,1006,50,1440,1424,16,98.889,16.0,180.0,
2026-04-05,eu,OSR,eu-enterprise.l1l5.skylark.swiftnav.com:2103,https:,Standard,1006,50,1440,1420,20,98.611,20.0,126.0,
2026-04-05,eu,OSR,eu.all-freq.skylark.swiftnav.com:2101,http:,Standard,1006,50,1440,1440,0,100.0,0.0,180.0,
2026-04-05,eu,OSR,eu.all-freq.skylark.swiftnav.com:2102,https:,Standard,1006,50,1440,1440,0,100.0,0.0,180.0,
2026-04-05,eu,OSR,eu.l1l2.skylark.swiftnav.com:2101,http:,Standard,1006,50,1440,1424,16,98.889,16.0,180.0,
2026-04-05,eu,OSR,eu.l1l2.skylark.swiftnav.com:2102,https:,Standard,1006,50,1440,1424,16,98.889,16.0,178.0,
2026-04-05,eu,OSR,eu.l1l5.skylark.swiftnav.com:2101,http:,Standard,1006,50,1440,1419,21,98.542,21.0,126.0,
2026-04-05,eu,OSR,eu.l1l5.skylark.swiftnav.com:2102,https:,Standard,1006,50,1440,1419,21,98.542,21.0,126.0,
2026-04-05,eu,SSR,eu-enterprise.all-freq.skylark.swiftnav.com:2103,https:,SSR,1060,10,1440,1433,7,99.514,7.0,36.0,
2026-04-05,eu,SSR,eu-enterprise.l1l2.skylark.swiftnav.com:2103,https:,SSR,1060,10,1440,1439,1,99.931,1.0,36.0,
2026-04-05,eu,SSR,eu-enterprise.l1l5.skylark.swiftnav.com:2103,https:,SSR,1060,10,1440,1433,7,99.514,7.0,36.0,
2026-04-05,eu,SSR,eu.all-freq.skylark.swiftnav.com:2101,http:,SSR,1060,10,1440,1433,7,99.514,7.0,36.0,
2026-04-05,eu,SSR,eu.all-freq.skylark.swiftnav.com:2102,https:,SSR,1060,10,1440,1433,7,99.514,7.0,36.0,
2026-04-05,eu,SSR,eu.l1l2.skylark.swiftnav.com:2101,http:,SSR,1060,10,1440,1439,1,99.931,1.0,36.0,
2026-04-05,eu,SSR,eu.l1l2.skylark.swiftnav.com:2102,https:,SSR,1060,10,1440,1439,1,99.931,1.0,36.0,
2026-04-05,eu,SSR,eu.l1l5.skylark.swiftnav.com:2101,http:,SSR,1060,10,1440,1433,7,99.514,7.0,36.0,
2026-04-05,eu,SSR,eu.l1l5.skylark.swiftnav.com:2102,https:,SSR,1060,10,1440,1433,7,99.514,7.0,36.0,
2026-04-05,eu,SSR-integrity,eu-enterprise.l1l2.skylark.swiftnav.com:2103,https:,SSR,1060,10,1440,1440,0,100.0,0.0,36.0,
2026-04-05,eu,SSR-integrity,eu-enterprise.l1l5.skylark.swiftnav.com:2103,https:,SSR,1060,10,1440,1440,0,100.0,0.0,36.0,
2026-04-05,eu,SSR-integrity,eu.l1l2.skylark.swiftnav.com:2101,http:,SSR,1060,10,1440,1440,0,100.0,0.0,36.0,
2026-04-05,eu,SSR-integrity,eu.l1l2.skylark.swiftnav.com:2102,https:,SSR,1060,10,1440,1440,0,100.0,0.0,36.0,
2026-04-05,eu,SSR-integrity,eu.l1l5.skylark.swiftnav.com:2101,http:,SSR,1060,10,1440,1440,0,100.0,0.0,36.0,
2026-04-05,eu,SSR-integrity,eu.l1l5.skylark.swiftnav.com:2102,https:,SSR,1060,10,1440,1440,0,100.0,0.0,36.0,
2026-04-05,na,DX-MSM1,na-enterprise.all-freq.skylark.swiftnav.com:2103,https:,Standard,1006,50,1440,1440,0,100.0,0.0,300.0,
2026-04-05,na,DX-MSM1,na-enterprise.l1l2.skylark.swiftnav.com:2103,https:,Standard,1006,50,1440,1440,0,100.0,0.0,58.0,
2026-04-05,na,DX-MSM1,na-enterprise.l1l5.skylark.swiftnav.com:2103,https:,Standard,1006,50,1440,1440,0,100.0,0.0,58.0,
2026-04-05,na,DX-MSM1,na.all-freq.skylark.swiftnav.com:2101,http:,Standard,1006,50,1440,1440,0,100.0,0.0,379.0,
2026-04-05,na,DX-MSM1,na.all-freq.skylark.swiftnav.com:2102,https:,Standard,1006,50,1440,1440,0,100.0,0.0,294.0,
2026-04-05,na,DX-MSM1,na.l1l2.skylark.swiftnav.com:2101,http:,Standard,1006,50,1440,1440,0,100.0,0.0,58.0,
2026-04-05,na,DX-MSM1,na.l1l2.skylark.swiftnav.com:2102,https:,Standard,1006,50,1440,1440,0,100.0,0.0,58.0,
2026-04-05,na,DX-MSM1,na.l1l5.skylark.swiftnav.com:2101,http:,Standard,1006,50,1440,1440,0,100.0,0.0,101.5,
2026-04-05,na,DX-MSM1,na.l1l5.skylark.swiftnav.com:2102,https:,Standard,1006,50,1440,1440,0,100.0,0.0,60.0,
2026-04-05,na,MSM4,na-enterprise.all-freq.skylark.swiftnav.com:2103,https:,Standard,1006,50,1440,1440,0,100.0,0.0,58.0,
2026-04-05,na,MSM4,na-enterprise.l1l2.skylark.swiftnav.com:2103,https:,Standard,1006,50,1440,1440,0,100.0,0.0,58.0,
2026-04-05,na,MSM4,na-enterprise.l1l5.skylark.swiftnav.com:2103,https:,Standard,1006,50,1440,1440,0,100.0,0.0,58.0,
2026-04-05,na,MSM4,na.all-freq.skylark.swiftnav.com:2101,http:,Standard,1006,50,1440,1440,0,100.0,0.0,60.0,
2026-04-05,na,MSM4,na.all-freq.skylark.swiftnav.com:2102,https:,Standard,1006,50,1440,1440,0,100.0,0.0,58.0,
2026-04-05,na,MSM4,na.l1l2.skylark.swiftnav.com:2101,http:,Standard,1006,50,1440,1440,0,100.0,0.0,58.0,
2026-04-05,na,MSM4,na.l1l2.skylark.swiftnav.com:2102,https:,Standard,1006,50,1440,1440,0,100.0,0.0,58.0,
2026-04-05,na,MSM4,na.l1l5.skylark.swiftnav.com:2101,http:,Standard,1006,50,1440,1440,0,100.0,0.0,58.0,
